,filename,transcription,text,wer,cer
19,0086ea5d5625.wav,поздна ложится спать,нельзя поздно ложиться спать,0.75,0.3214285714285714
20,0092949145d1.wav,поэтому у меня только одно сообщени,поэтому у меня только одно сообщение,0.1666666666666666,0.0277777777777777
21,00b01adf011a.wav,того чтобы определить в какой именно момент испытуемые принимали решение,для того чтобы определить в какой именно момент испытуемые принимали решение,0.0909090909090909,0.0526315789473684
22,00bb40eda3ab.wav,когда маленькие человече прождается,когда маленький человечек рождается,0.75,0.0857142857142857
23,00be8d6c34a0.wav,и вырабатываетники нурмы которые являются премущественными получают премуеству,и вырабатывает некие нормы которые получают преимущества,0.8571428571428571,0.5892857142857143
24,00c46f08ed28.wav,эта идея метафра на потом выросла в инсталекц,эта идея метафора потом выросла в инсталляцию,0.4285714285714285,0.1777777777777777
25,00d0c4e02ca5.wav,ну бы до допадения,но будут и падения,1.0,0.3888888888888889
26,00d2ef990bba.wav,чьем плоха исторической аналогия тем что она отрицает развитие,чем плоха историческая аналогия тем что она отрицает развитие,0.2222222222222222,0.0491803278688524
27,00de24118c7e.wav,сколько мне еще осталось сколько будет зелано,сколько мне ещё осталось сколько будет сделано,0.2857142857142857,0.0652173913043478
28,00e29734f440.wav,получается что ты с помощь улыбки и доброго слова,получается что ты с помощью улыбки и доброго слова,0.1111111111111111,0.02
29,00e5de76d1ba.wav,я поступил на работу в большой академический институт,я поступил на работу в большой академический институт,0.0,0.0
30,00f01a690e40.wav,тактаки счастливые довольные радуется жизни нечего подобного,такими счастливыми довольными радующимися жизни ничего подобного,0.7142857142857143,0.203125
31,00f0c9097532.wav,кторы его таким забавным образом проявляют,которые таким забавным образом проявляются,0.6,0.1428571428571428
32,00fbc4a52334.wav,ходит с планетарии,ходят в планетарии,0.6666666666666666,0.1111111111111111
33,010ad4ddbf4e.wav,которы не укладываются в принятую картину мира,которые не укладываются в принятую картину мира,0.1428571428571428,0.0212765957446808
34,011079ac806f.wav,сейчас у них там тысяч валлантеров по всей стране,сейчас у них тысячи волонтёров по всей стране,0.375,0.2
35,0113cf5badfe.wav,адо действовать по собственному произволу,надо действовать по собственному произволу,0.2,0.0238095238095238
36,0117fb058e4c.wav,заставляет не зад не задумат с о то,заставляет нас не задумываться о том,0.8333333333333334,0.25
37,013672c1de02.wav,чтанесут кристы несут свече и даже служит мес,несут кресты несут свечи и даже служат мессу,0.625,0.1818181818181818
38,013b879eb7f8.wav,покоеце ни на доказательстве того что у нас ее действительно не,покоится не на доказательстве того что у нас её действительно нет,0.3636363636363636,0.1076923076923077
39,01446bb8c5ba.wav,мы страимся собрать лучаехученных совсемо мира,мы стараемся собрать лучших учёных со всего мира,0.625,0.1875
40,0159d1ae5c4a.wav,первого порядка и желание второго порядка,желания первого порядка и желания второго порядка,0.2857142857142857,0.1836734693877551
41,016581b3285c.wav,помните чему учили в благородном польсионск,а вы помните чему учили в благородном пансионе,0.375,0.217391304347826
42,0171fcf54f31.wav,это просто карта путейнаи меньшего сопротивления в моем мозге,это просто карта путей наименьшего сопротивления в моём мозге,0.3333333333333333,0.0491803278688524
43,0177d438c0e8.wav,три модели их не так много на самом деле мы,три модели,4.0,3.3
44,018ad103b34c.wav,ну вроде с царём соломоном и не поспоришь,ну вроде с царём соломоном и не поспоришь,0.0,0.0
45,0191be1c9fc5.wav,но при этом они насколько плотно инкорпорировали,но при этом они настолько плотно инкорпорировались,0.2857142857142857,0.06
46,0191ed0f9fee.wav,и самой важно это рост влияния человека,и самое важное это рост влияния человека,0.2857142857142857,0.05
47,01a0e36941d4.wav,как активны трансформирующей силы мира,как активной трансформирующей силы мира,0.2,0.0512820512820512
48,01a84344faf4.wav,к друзья и близкем  а в книжный магазин,он пошёл не к друзьям и близким а в книжный магазин,0.4545454545454545,0.2941176470588235
49,01b1ebdc48e6.wav,закончила магистратуру в сфере разрешения конфликтов,я закончила магистратуру в сфере разрешения конфликтов,0.1428571428571428,0.037037037037037
50,01b29741649b.wav,имне доверяю и боспра что же состаронность относитья,им не доверяю и вас прошу с осторожностью относиться,0.7777777777777778,0.3076923076923077
51,01b593daaba1.wav,в которой говорит ся что процедуры все либо диктаторски и либо манипулируемы,в которой говорится что процедуры все либо диктаторские либо манипулируемые,0.5,0.0533333333333333
52,01c169349c58.wav,но возможно сейчас самое время подумать о том что это замечта,но возможно сейчас самое время подумать о том что это за мечта,0.1666666666666666,0.0161290322580645
53,01c5a8746cb1.wav,потом созрить потом замернось еще рас,потом созреть потом замёрзнуть ещё раз,0.6666666666666666,0.1842105263157894
54,01cac6a83f86.wav,отец меня будешь гы этом осман доброе утрое вот ким ты будешь,отец меня будит и говорит осман доброе утро кем ты будешь,0.5454545454545454,0.2807017543859649
55,01cdb0676a5c.wav,этот момент мы бы назвали зарождение жизни,этот момент мы бы назвали зарождение жизни,0.0,0.0
56,01d0343f3280.wav,опель синита как белко оранжевая,об апельсине так как белка оранжевая,0.6666666666666666,0.2222222222222222
57,01e406c45ea9.wav,благодаря нашим работам в частности получили новое развитие,благодаря нашим работам в частности получили новое развитие,0.0,0.0
58,01ef275ae35f.wav,глубинного восприятия образа,глубинного восприятия образа,0.0,0.0
59,01f4461614d7 (1).wav,дышем гододав то самый момент скандала или нетотниз незадолга до него,,,
60,01f4461614d7.wav,дышем гододав то самый момент скандала или нетотниз незадолга до него,дышим да да да в тот самый момент скандала или незадолго до него,0.6153846153846154,0.28125
61,02033da13322.wav,а заключается она в том что люди в нашей стране,а заключается она в том что люди в нашей стране,0.0,0.0
62,02199783d7a3.wav,индустрии моды красоты и развлечений,индустрия моды красоты развлечений,0.5,0.088235294117647
63,022daced3f77.wav,мына самделе нашли идею создания малого бизнеса,мы на самом деле нашли идею создания малого бизнеса,0.4444444444444444,0.0784313725490196
64,022fd4473fca.wav,это делается за счет популяризации,это делается за счёт популяризации,0.2,0.0294117647058823
65,023636d32eaf.wav,где католическое мессу предстает как насквозь лицемирное действо,где католическая месса предстаёт как насквозь лицемерное действо,0.5,0.078125
66,023ac65e4ef8.wav,ивот у нас появелось то чем можно делиться с другими,и вот у нас появилось то чем можно делиться с другими,0.2727272727272727,0.0377358490566037
67,023ce26ed507.wav,ну и там и там тех кто да же подозревался о не согласие с общей  доктрино,но и там и там тех кто даже подозревался в несогласии с общей доктриной,0.5,0.0985915492957746
68,023da16b99c8.wav,и что вместе вы можете больше,и что вместе вы можете больше,0.0,0.0
69,0240f26d7290.wav,достатоки этого правила не известны сантичных времен,недостатки этого правила известны с античных времён,0.7142857142857143,0.1568627450980392
70,024b11ef564e.wav,отстаивали тезиса наличию человека свободой воли,которые отстаивали тезис о наличии у человека свободы воли,0.6666666666666666,0.2586206896551724
71,0250c32f84ff.wav,так вот она привлавт к нам на тринировку,так вот она привела его к нам на тренировку,0.3333333333333333,0.1395348837209302
72,02586905fca4.wav,команд в создание лиздю фо лидерства,в построение команд в создание лидерства,0.6666666666666666,0.55
73,025b8a629505.wav,случается просто касивые картинки т ассамдель ни зачем не нужно но,это просто красивые картинки это на самом деле низачем не нужно,0.7272727272727273,0.3333333333333333
74,026272cee253.wav,не для написания хартий служибных письем записке,не для написания хартий служебных писем записок,0.4285714285714285,0.0851063829787234
75,026ebb74789b.wav,спустя два десятилетия во германии был проведен еще один эксперемен,спустя два десятилетия в германии был проведён ещё один эксперимент,0.4,0.0746268656716417
76,026fea41363c.wav,поэтов сот сетий так называемв молодых львовка,поэтов из соцсетей так называемых молодых львов,0.5714285714285714,0.2127659574468085
77,0273fe9d5470.wav,был первый город с которым мы начали работать больше года назад,это был первый город с которым мы начали работать больше года назад,0.0833333333333333,0.0597014925373134
78,028453fbc524.wav,сейчас источником власти стал и народ,сейчас источником власти стал народ,0.2,0.0571428571428571
79,02932605d43c.wav,что с чему начинается вообщетворчество все начинается радасчасть вые,с чего начинается вообще творчество с чего начинается радость счастье,0.8,0.2898550724637681
80,02a09b78b691.wav,взелетня девочка ушла из дома влес,пятилетняя девочка ушла из дома в лес,0.4285714285714285,0.1621621621621621
81,02a35ba0767e.wav,не надо ний даже рассказывать качке,не надо о ней даже рассказывать,0.5,0.2903225806451613
82,02b7f2edb748.wav,если все что влияет на нашей поступке мы объединим в категорию сигнал,если всё что влияет на наши поступки мы объединим в категорию сигнал,0.25,0.0588235294117647
83,02bee1265c1b.wav,между тримя занятиями,между тремя занятиями,0.3333333333333333,0.0476190476190476
84,02c12f302ab1.wav,только по одной пичине там,нужна только по одной причине,0.6,0.3793103448275862
85,02d32a2357de.wav,и она повторялась так много раз,и она повторялась так много раз,0.0,0.0
86,02d7c54dd98a.wav,или все р жбазон такой млодой,или серж бозон такой молодой,0.8,0.2142857142857142
87,02e3a45840ec.wav,если дара нет то не стоит и пытаться,и если дара нет то не сто ит и пытаться,0.3,0.0769230769230769
88,02e612735c96.wav,мышечного движения фиксировался с помощью илектра миографа,процесс мышечного движения фиксировался с помощью электромиографа,0.4285714285714285,0.1692307692307692
89,02e7b3d5211c.wav,которую есть свои даже маленький пуска детские цели,у которого есть свои даже маленькие пускай детские цели,0.4444444444444444,0.1272727272727272
90,02f077ca6e79.wav,будет куплено кем-то очень задеживо,или будет куплена кем то очень задёшево,0.7142857142857143,0.2307692307692307
91,02f0baf0a76a.wav,тыи может мы что засмушем сделать для человека,и может мы что то сможем сделать для человека,0.3333333333333333,0.1555555555555555
92,02fa03b45020.wav,умела так как в книжках пишут знаетес,умерла так как в книжках пишут,0.3333333333333333,0.3
93,0303c16e2c96.wav,осмествальский мир стал миром суверенных государств,поствестфальский мир стал миром суверенных государств,0.1666666666666666,0.0754716981132075
94,03155d91efad.wav,то мы можем вступать в историческую эпоху когда вот ити вот единые унифицированм,то мы можем вступать в историческую эпоху когда эти единые унифицированные,0.3636363636363636,0.1621621621621621
95,03164612754a.wav,необходимо каждый день выходите из свои зоны комфорта,необходимо каждый день выходить из своей зоны комфорта,0.25,0.0555555555555555
96,0316a1545b8c.wav,точно мы в своей работе занимаемся это по сути мы находим и представляем тилины интерпретатьси,то чем мы в своей работе занимаемся мы находим те или иные интерпретации,0.6923076923076923,0.4722222222222222
97,03187d34b3f5.wav,у науки есть три проблемы в передаче знаний которое надо бывае,у науки есть три проблемы в передаче знаний которые она добывает,0.2727272727272727,0.078125
98,031cce7cd86b.wav,и эта встреча вовсе не всегда была конфликтной,и эта встреча не всегда была конфликтной,0.1428571428571428,0.15
99,03252189737a.wav,ваша полеснинца подтверждает,ваши аплодисменты подтверждают,1.0,0.3333333333333333
100,03307d92e58c.wav,что в какой-тот момент мы входим в пародди,что в какой то момент мы входим в парадигму,0.3333333333333333,0.1627906976744186
101,03400eb8f86d.wav,думая о белкик вам могут в голову прети мыслеэш,с думами о белке к вам в голову могут прийти мысли,0.7272727272727273,0.44
102,034a46fa086e.wav,вобще м тебе понадбится ум труда люби усердие дняна любовь и алкоколй,тебе понадобится ум трудолюбие усердие любовь и алкоголь,0.875,0.3571428571428571
103,0355ac89e4e9.wav,как возрождение постельного промысла,о возрождении пастельного промысла,0.75,0.1470588235294117
104,035620b9ecc3.wav,как например делать участники сайта поцента как я,как например делают участники сайта пациенты как я,0.25,0.1
105,0364e2d9bd24.wav,и тогда я братил внимание на свою визитку,и тогда я обратил внимание на свою визитку,0.125,0.0238095238095238
106,036fdf327c95.wav,насмешкив свой адрес,но и насмешке в свой адрес,0.6666666666666666,0.2692307692307692
107,03849374037a.wav,там что-то прочетали там видели в тилиниза,если вы что то прочитали увидели в телевизоре,0.875,0.4222222222222222
108,0388ee6ed6d9.wav,хотите быть свободным используйте рефлексию,хотите быть свободным используйте рефлексию,0.0,0.0
109,038e4176e80b.wav,таекой переключатель которые или переключает клетку как табо включа,это такой переключатель который когда его включаешь,1.2857142857142858,0.6862745098039216
110,038f2c319d22.wav,мы все решили за своих детей с момента их рождения,мы всё решили за своих детей с момента их рождения,0.1,0.02
111,039b4d56cfcc.wav,и то же что-то больше симухли правда,это уже что то большее чем хлеб правда,0.875,0.2631578947368421
112,03a24c315d0c.wav,это и сеправильно понимаю,это если я правильно понимаю,0.6,0.1785714285714285
113,03ab9413fd79.wav,отораю вероятно смерти с возрастом не увеличивается,у которых вероятность смерти с возрастом не увеличивается,0.375,0.1403508771929824
114,03bef5094399.wav,опять жевопреки тому что мы можем себе предстать,опять же вопреки тому что мы можем себе представить,0.3333333333333333,0.0588235294117647
115,03bfcb356cf1.wav,стобы лебить отцветно нужно оставаться ребенком,но чтобы любить этот свет нужно оставаться ребёнком,0.75,0.2352941176470588
116,03c1145488c7.wav,спасибо после лекции палатиноамериканский,спасибо которые после лекции про латиноамериканское,0.5,0.2549019607843137
117,03cfa309c2e0.wav,позволяет полностью изменить отношения к тому пространству в которому,позволяют полностью изменить отношение к тому пространству в котором мы живём,0.4545454545454545,0.1428571428571428
118,03dbeea8c318.wav,однажды один из участников подобный лекций сказал мне знать сказал с таким возмущением,однажды один из участников подобной лекции сказал мне с таким возмущением,0.3636363636363636,0.2054794520547945
119,03e88118a3cb.wav,с моей точки зрения наяроученые делают свои выводы,так вот с моей точки зрения нейроучёные делают свои выводы,0.3,0.1896551724137931
120,03efb392e96d.wav,нам тепелот  выпускной чесь всечастливые все делак костюм и,у меня выпускной все счастливые все дела костюм,0.75,0.3829787234042553
121,03fb7567b324.wav,ежьте больше обощей,ешьте больше овощей,0.6666666666666666,0.1052631578947368
122,03fde3b12c3a.wav,и бесьшабасний человека ещё труднее ноте это я,и бесшабашней человека ещё труднее найти это я,0.25,0.1304347826086956
123,04035ea43d3a.wav,такие организации как он другие международный организации он,такие организации как оон другие международные организации,0.4285714285714285,0.0862068965517241
124,040986a7e364.wav,и в моске втом чесле был покас фильма,и в москве в том числе был показ фильма,0.5555555555555556,0.1025641025641025
125,042e9a78ce16.wav,трехмирную текучую среду а жесткую плоскость,не трёхмерную текучую среду а жёсткую плоскость,0.4285714285714285,0.1276595744680851
126,043553b09389.wav,потом его там родитель отдали в музыкалку кубик вернулся еще рае,потом его родители отдали в музыкалку кубик повернулся ещё раз,0.5,0.1451612903225806
127,043728b2910f.wav,есть еще одно представление которое части сформировали архитек,есть ещё одно представление которое отчасти сформировали архитекторы,0.375,0.1029411764705882
128,045d63aec1f3.wav,они все время хотят играть,они всё время хотят играть,0.2,0.0384615384615384
129,046a39f19355.wav,вот вы там смеяйтесь да что же,вот вы смеётесь а что же,0.5,0.2916666666666667
130,046deb52c102.wav,на котором мы говорили,о котором мы говорили,0.25,0.0952380952380952
131,046f36fcd4f0.wav,и в какой-то момент я поняла,и в какой то момент я поняла,0.2857142857142857,0.0357142857142857
132,04720b6a5eb5.wav,сделать мирдобре уже не кажется такою топичной,цель сделать мир добрее уже не кажется такой утопичной,0.5555555555555556,0.1666666666666666
133,0473bc9f4237.wav,шечное частичка в селенны становится настолько сложной,крошечная частичка вселенной становится настолько сложной,0.5,0.1403508771929824
134,0473c1fac2e4.wav,а есть еще более эффективный инструмент из бизнеса,а есть ещё более эффективный инструмент из бизнеса,0.125,0.02
135,0482dd500414.wav,таже опасно потому что самы сильные сказал один,это же опасно потому что самый сильный сказал один,0.4444444444444444,0.1
136,0493182a11e7.wav,которые вместо того чтобы сидеть на заслуженной пенсия,которвя вместо того чтобы сидеть на заслуженной пенсии,0.25,0.0555555555555555
137,049d7ed9ebc1.wav,чита маме жене возможно даже бабушке,чьей то маме жене возможно даже бабушке,0.2857142857142857,0.1282051282051282
138,04ac1ad6ecfe.wav,момент в данном месте для электрического импульса,в данным момент в данном месте для электрического импульса,0.2222222222222222,0.1551724137931034
139,04b94821c0d7.wav,а я такой а мужетон не хочет спать,а я такой а может он не хочет спать,0.2222222222222222,0.0571428571428571
140,04c35a978dc1.wav,саремен мы должны учиться дигностигвой старене,мы должны научиться диагностировать старение,0.8,0.3863636363636363
141,04d156dc9973.wav,в мире становится больше улыбок,в мире становится больше улыбок,0.0,0.0
142,04d48782006b.wav,есто люди вы доверяете тоть готов одать плючей от вашем,людей вы доверяете,2.6666666666666665,2.2222222222222223
143,04df57b2e4a6.wav,кроме того мы с вами находимся подейсим не пуляця,кроме того мы с вами находимся под действием манипуляций,0.3333333333333333,0.1964285714285714
144,0500d610393a.wav,хорошо афренкинштын,хорошо а франкенштейн,0.6666666666666666,0.238095238095238
145,05012d0e076a.wav,как учисы в университете или переводить старушку через дорогу,как учиться в университете или переводить старушку через дорогу,0.1111111111111111,0.0476190476190476
146,050586b2a73d.wav,скучно понимают,скучно понимаю,0.5,0.0714285714285714
147,0505a1d30768.wav,уже во кумассовом и серьезном государственном масштабе,уже в массовом и серьёзном государственном масштабе,0.4285714285714285,0.0784313725490196
148,0507cab72e2d.wav,определить что важно когда вы знаете дедлайн,определить что важно когда вы знаете дедлайн,0.0,0.0
149,051b5545ebbe.wav,тремяшиеся к постоянному развитию мы здесь москве ну это совсем не значиты,стремящиеся к постоянному развитию мы здесь в москве но это не значит,0.4166666666666667,0.1884057971014492
150,0533745e770c.wav,там то же есть  такие знаети подъезды с грязными стенами,там тоже есть такие знаете подъезды с грязными стенами,0.3333333333333333,0.0555555555555555
151,053d93bb2579.wav,мы приехали я сказал ему спасибо и благодарноспожал руку,мы приехали я сказал ему спасибо и в благодарность пожал руку,0.2727272727272727,0.081967213114754
152,054012e1bfb3.wav,и не было такого запроса в обществ,и не было такого запроса в обществе,0.1428571428571428,0.0285714285714285
153,0542ded4b855.wav,но у него мня бальдушон  это не сказ что он тот не помет,но у меня болит душа он это не скажет он это не поймёт,0.6153846153846154,0.3703703703703703
154,055b23386fbf.wav,мираем дро бысредилой,так мы сами умираем давай быстрей делать,1.0,0.6
155,05658b39a5e4.wav,там же гениальный дэтигдип не разгаданы,там же гениальный детектив неразгаданный,0.6,0.2
156,057494a07df6.wav,из одной из книг выпало доброкарта,из одной из книг выпала доброкарта,0.1666666666666666,0.0294117647058823
157,05758546eae5.wav,адмистрация сидет на правой часте там она намного больше,администрация сидит на правой части там она намного больше,0.3333333333333333,0.0689655172413793
158,057cb9ae4d6a.wav,начался сузебный процесс по обвинению художнкак спресианиста георган гроса,начался судебный процесс по обвинению художника экспрессиониста георга гросса,0.5555555555555556,0.1168831168831168
159,057f347a208d.wav,попробуйте примерить на себя эту роль,попробуйте примерить на себя эту роль,0.0,0.0
160,0582e1a1c267.wav,сгрумным континентом христьянского сакрального искусство илета,с огромным континентом христианского сакрального искусства,0.8333333333333334,0.1896551724137931
161,0591269c7d10.wav,ча скажу прощее люди в нашей стране приеки сообщать о пропавшем человеке вообщение вовремя,люди в нашей стране привыкли сообщать о пропавшем человеке вообще не во время,0.6153846153846154,0.2857142857142857
162,05940d5bc585.wav,право внизу так называемый дельфенарий,справа внизу так называемый дельфинарий,0.4,0.0769230769230769
163,059f938d2195.wav,что с ней происходит дальше,что с ними происходит дальше,0.2,0.1071428571428571
164,05a05bad6128.wav,сделало несколько фотографий поставила книгу на место вышло из магазина,сделала несколько фотографий поставила книгу на место вышла из магазина,0.2,0.028169014084507
165,05afcdb85237.wav,мы твоямикрбиота,мы твоя микробиота,0.6666666666666666,0.1111111111111111
166,05be26907d83.wav,нельзя еще раз повторю вернуться впруг,нельзя ещё раз повторю вернуться в прошлое,0.4285714285714285,0.1666666666666666
167,05c8d1807d18.wav,отлично что же таколо дивано это классна там не знаю мне не надо будет пареться,отлично что же такого это классно мне не надо будет париться,0.6363636363636364,0.3666666666666666
168,05e12a5e70c0.wav,ни видели ряд сменяющих друг друга буг фолфовита,они видели ряд сменяющих друг друга букв алфавита,0.375,0.1224489795918367
169,05e8697e5209.wav,может быть даже по другому питаться,может быть даже по другому питаться,0.0,0.0
170,05edce76f1ba.wav,причем их зор обращается не только на образы кранеритически,причём их взор обращается не только на образы откровенно еретические,0.4,0.1764705882352941
171,05fb54b33215.wav,два года назад у меня родилась дочь,два года назад у меня родилась дочь,0.0,0.0
172,060d6f65d37d.wav,в основном они переместились в группу номеродин,в основном они переместились в группу номер один,0.25,0.0208333333333333
173,062072c1c4e9.wav,нет он обязан стоять околографии всем продумано,нет он обязан стоять около графини всё продумано,0.375,0.0833333333333333
174,0623336f5fd7.wav,для других категорий физических ограничений,для других категорий физических ограничений,0.0,0.0
175,062885d92a23.wav,окружающей средой,с окружающей средой,0.3333333333333333,0.1052631578947368
176,062b6fe68399.wav,многие думают что эмамкаеф  это только красные дорожки,многие думают что ммкф это только красные дорожки,0.125,0.1020408163265306
177,062dfb7f047c.wav,на ключек по знанию,на ключе к познанию,0.75,0.1052631578947368
178,062ff24d9921.wav,пройдешь череского матографи неподимлся камте,пройдёшь через комнату графини поднимешься ко мне,1.0,0.3877551020408163
179,0634e8ffad05.wav,ваше сегодня подстать слепцу а познает себя бротский,ваше сегодня подстать слепцу опознаёт себя бродский,0.4285714285714285,0.0784313725490196
180,0642b33d80f6.wav,бизнес  это специфическое занятие людей,бизнес это специфическое занятие людей,0.0,0.0263157894736842
181,06559073bf87.wav,последовательность обратная в начале откуда-то берется,причём последовательность обратная вначале откуда то берётся,0.7142857142857143,0.1666666666666666
182,0657109b26f3.wav,и хочется целовать с этих людей которые до сих пор пишьт эти комментиая,и хочется целовать этих людей которые до сих пор пишут эти комментарии,0.25,0.1
183,065da4788a98.wav,тогда подвергать авторититкликлира сомнению уже намного опасней,когда подвергать авторитет клира сомнению намного опаснее,0.7142857142857143,0.175438596491228
184,0661b6c86ef4.wav,повышають палификацию меняют к волификацию,повышают квалификацию меняют квалификацию,1.0,0.1219512195121951
185,06645939c11c.wav,вообщем я был тогда в десяток  в девятом классек где-то дам,я был тогда в девятом классе где то,0.75,0.7142857142857143
186,066a06cfef1f.wav,язикдель финов предполагает совершенною психологеческую,нг язык дельфинов предполагает совершенную психологическую,0.8333333333333334,0.1379310344827586
187,067eee5dcb1c.wav,ну вы можете конечно не назвать их планерка,ну вы можете конечно не называть их планёрками,0.25,0.0869565217391304
188,0687d04895aa.wav,одно из самых ярких свидетельств такого взаимодействия служит маргиналие,одним из самых ярких свидетельств такого взаимодействия служат маргиналии,0.3333333333333333,0.0547945205479452
189,06885cc59f55.wav,что вообще-то говоря люди устают от ни знания,что вообще то говоря люди устают от незнания,0.5,0.0681818181818181
190,068f2999fd21.wav,но раныль позно ребенок видит что от него никто ничего не хочет,но рано или поздно ребёнок видит что от него никто ничего не хочет,0.3076923076923077,0.0909090909090909
191,068f53b1eb2a.wav,посмотрите сами,посмотрите сами,0.0,0.0
192,0692b8a00851.wav,пример но столько же смотрит ла моен трансляцию,примерно столько же смотрят онлайн трансляцию,0.8333333333333334,0.1777777777777777
193,069364855576.wav,тогда я предложила в здании музея открыть хосл для фотографов,и тогда я предложила в здании музея открыть хостел для фотографов,0.1818181818181818,0.0615384615384615
194,069a746fd426.wav,тем не менее вот самый механизм когда люди обединились провели,тем не менее сам механизм когда люди объединились и провели,0.4,0.1525423728813559
195,06a6b0436fb6.wav,есть вноменным апьюмантаре во подрясающей филмке и африка,есть феномен мокьюментари и потрясающий фильм кейси аффлека,0.875,0.3389830508474576
196,06acd60090fc.wav,у него просто такой характер,у него просто такой характер,0.0,0.0
197,06cc3a09105a.wav,ребенок встает и начинает играть начинает двигаться,ребёнок встаёт и начинает играть начинает двигаться,0.2857142857142857,0.0392156862745098
198,06e51758f74e.wav,и так ка кубел кеешерств,о шубе так как у белки есть шерсть,0.875,0.5
199,06e7b98998be.wav,это не соответство библи,и это не соответствовало библии,0.6,0.2258064516129032
200,06ecac35e00e.wav,нужно было выработать оточить зор кось глаза,нужно было выработать отточить зоркость глаза,0.5,0.0666666666666666
